term,pos,comment,is_case_sensitive,en,comment_en
གློག་ གི་ འོད,,place-vidyutprabha,yes,Vidyutprabha,"“Light of Lightning.” Name of the universe where, according to the Buddha Śākyamuni’s prophecy, the girl Vimalaśraddhā will finally reach full enlightenment under the name of the Thus-Gone One Raśmivyūha."
གློག་ གི་ ལྷ་ ཞེས,,person-Vidyuddeva,yes,Vidyuddeva,A bodhisatva great being.
གློག་ གི་ ལྷ,,person-Vidyuddeva,yes,Vidyuddeva,
གློག་ གི་ སྒྲོན་མ་ ཏོག་ གི་ རྒྱལ་པོ,,person-—,yes,King of the Tip of the Lamp of Lightning,Name of the thus-gone one of the world system Flash of Lightning.
གློག་ གི་ སྒྲོན་མ,,term-vi­dyut­pradīpa,yes,Lightning Lamp,Name of the fortieth meditative stability.
གློག་ ཆེན་ སྒྲོན་མ,,person-—,yes,Light Beam of Great Lightning,The name of a bodhisattva in the Buddha’s audience.
གློག་ འཁྱུག་པ་ -ར་ བྱེད་པ,,term-—,yes,Lightning wielder,A class of vidyādharas.
གློག་འོད་ ཏོག་ གི་ རྒྱལ,,person-—,yes,King of the Tip of the Flash of Lightning,Name of the thus-gone one of the world system Flash of Lightning. Likely an alternate name for the thus-gone one King of the Tip of the Lamp of Lightning.
གློག་ ལྟ་བུ་ -འི་ ཏིང་ངེ་འཛིན,,term-vi­dyut­samādhi,yes,Meditative stability that resembles lightning,
གློག་ ལྟར་ འཇིགས་ མ,,person-Vidyutkarālī,yes,Vidyutkarālī,"‟One with Flashing Fangs,” one of the eight demonesses who inhabit the eight great charnel grounds."
གློག་ ལྟས,,person-—,yes,Lightning Gaze,A bodhisattva in the retinue of the Buddha Śākyamuni.
གློག་ ལྷ,,person-Vidyutdeva,yes,Vidyutdeva,
གློག་ སྣང་བ,,person-Vidyuprabhāsa,yes,Vidyuprabhāsa,A thus-gone one who taught the King of the Array of all Dharma Qualities to Vajrapāṇi.
གློག་ སྤྲིན,,person-—,yes,Lightning Cloud,A buddha.
གྷ་ སྨ་ རཱི,,person-Ghasmarī,yes,Ghasmarī,One of the female deities in the retinue of Hevajra.
གྷུཉྫ,,term-guñjā; guñja,yes,Indian licorice,Abrus precatorius.
ང་ ཟག་པ་ ཟད་པ་ དོ,,term-kṣīṇāsravasya me prati­jānata,yes,I claim I am one whose contaminants have ceased,Second of the Buddha’s four assurances.
ང་ ཡང་དག་པ་ -ར་ རྫོགས་པ་ -འི་ སངས་རྒྱས་ སོ,,term-samyak­saṃ­buddhasya me prati­jānata,yes,I claim to have attained genuinely perfect buddhahood,First of the Buddha’s four assurances.
ང་རོ་ཅན,,place-—,yes,Roaring,A buddha realm.
ང་རོ་ དཔག་ ཏུ་ མེད,,person-—,yes,Unfathomable Roar,A great bodhisattva.
ང་རོ་ བསྡམས,,person-—,yes,Chosen Roar,A buddha.
ང་རོ་ མཐའ་ ཡས,,person-—,yes,Infinite Roar,A great bodhisattva.
ང་རོ་ འབར,,person-—,yes,Blazing Roar,A great bodhisattva.
ང་རྒྱལ་ཅན,,person-Māṇa,yes,Māṇa,One of the kings of the nāgas.
ང་རྒྱལ་ འཇོམས,,person-Mānabhañja,yes,Mānabhañja,One of the kings of the nāgas.
ང་རྒྱལ་ རྟགས་ ཀྱི་ གཟི་བརྗིད,,place-—,yes,Splendor of the Signs of Pride,One of the twenty-seven realms in the Heaven Free from Strife.
ང་རྒྱལ་ རྣམ་པ་ -ར་ འཇོམས,,person-None,yes,Destroyer of Pride,A bodhisattva.
ང་རྒྱལ་ ལྡོག་པ,,place-—,yes,Turning Away from Pride,One of the twenty-seven realms in the Heaven Free from Strife.
ང་ ལས་ ནུ,,person-Māndhātṛ,yes,Māndhātṛ,A wheel-turning king who was the Buddha in a former life.
ང་ ལས་ ནུ,,person-Māndhāta,yes,Māndhāta,(1) A powerful king whose good deeds lent splendor to the Pleasure Grove Park. (2) A universal monarch.
ང་ ལས་ ནུ,,person-Māndhātṛ,yes,Māndhātṛ,A legendary king before the time of the Buddha.
ངག,NOUN,term-vāk,yes,Speech,
ངག་ གི་ དབང་ཕྱུག་ མ་ཆེན་ མོ,,person-Mahāsarasvatī,yes,Mahāsarasvatī,Goddess of learning; in the SEV she is associated with Tārā; she is also one the four retinue goddesses of Siddhaikavīra.
ངག་གི་ལས་ ཐམས་ཅད་ ཡེ་ཤེས་ སྔོན་ དུ་ འགྲོ་ ཞིང་ ཡེ་ཤེས་ ཀྱི་ རྗེས་སུ་ འབྲང་བ,,term-sarva­vāk­karma­jñāna­pūrva­gamaṃ jñānānu­pari­varti,yes,All the activities of their speech are preceded by pristine cognition and followed by pristine cognition,Fourteenth of the eighteen distinct qualities of the buddhas.
ངག་ གི་ སྐྱོན་ རྣམ་པ་ -ར་ འཇིག་པ་ -ས་ ནམ་མཁའ་ ལྟར་ གྱུར་པ,,term-vāk­kali­vidhvaṃsana­gagana­kalpa,yes,"Obliterating Defects of Speech, Transforming Them as if into Space",Name of the 110th meditative stability.
ངག་དབང,,person-Vāgīśa,yes,Vāgīśa,A disciple of the Buddha.
ངག་དབང,,person-Vāgīśa,yes,Vāgīśa,
ངག་ ཡོངས་སུ་ དག་པ,,term-vāk­pariśuddhi,yes,Verbal purity,
ངང་ངུར་ གྱིས་ གང་བ,,place-—,yes,Filled with Swans,A river on Saṅkāśa.
ངང་ངུར་ རྣམས་ ཀྱིས་ རྗེས་སུ་ བསྒྲགས་པ་ -ར་ བྱེད་པ,,place-—,yes,Calling Geese,(1) A forest on Encircled by White Clouds (ngang ngur rnams kyis rjes su bsgrags par byed pa). (2) A river on Saṅkāśa (ngang pa kun sgra ’byin pa).
ངང་པ་ -འི་ གནས,,place-—,yes,Home of Geese,One of four parks that surround the city of Radiant.
ངང་པ་ -འི་ ཆུ,,place-—,yes,Swan Waters,A lake on Equal Peaks.
ངང་པ་ -འི་ ནགས,,place-—,yes,Swan Forest,(1) A forest in Endowed with Migration. (2) A lake to the north of Jambudvīpa.
ངང་པ་ -འི་ པད་མ་ -འི་ ཚལ,,place-—,yes,Swan Lotus Forest,A lotus grove in Part of the Assembly.
ངང་པ་ -འི་ རྒྱལ་པོ་ ལྟ་བུ་ -འི་ དབྱངས,,person-—,yes,Voice like the King of Swans,A queen of King Sarvārthasiddha.
ངང་པ་ -འི་ ཤིང་རྟ,,person-—,yes,Swan Charioteer,"An epithet of Brahmā, who rides a swan."
ངང་ པསའི་ གཤོག་པ་ -ས་ བཅོམ་པ,,place-—,yes,Splashing Swan Wings,A pond on Equal Peaks.
ངང་ཚུལ་ བཟང་པོ,,person-Svācāra,yes,Svācāra,A head merchant’s son in Dhanyākara.
ངང་ཚུལ,,person-Jihnu,yes,Jiṣṇu,"One of the kings of Nepal, possibly Jiṣṇugupta of the seventh century."
ངང་ཚུལ,,person-Śīla,yes,Śīla,The king identified with Śīlāditya Dharmāditya I of the Maitraka dynasty.
ངན་ ཏོ་ རེ,,person-Jujjuka,yes,Jujjuka,A brahmin. See also note https://read.84000.co/translation/UT22084-001-006.html#UT22084-001-006-4502.
ངན་པ,,term-—,yes,Ignorant of the Dharma,"Lacking knowledge of or being ignorant [of the Dharma]. J. S. Negi (Negi 935, s.v. ngan pa) cites a few instances where Tibetan ngan pa represents the Sanskrit semantic field “lack of understanding,” e.g., Bodhi­caryāvatāra (Tib. ngan pa; Skt. ajñaḥ “not knowing,” “devoid of knowledge,” “stupid,” “foolish,” etc.); Jātakamālā (Tib. ngan pa; Skt. jaḍā matiḥ “dull,” “stupid,” “irrational”); Avadāna­kalpalatā (Tib. ngan pa; Skt. mūrkhāḥ “stupid, dull-headed; a fool”). Context suggests that this is one sense of ngan pa in Exposition of Karma when it talks about the Dharma and knowledge thereof. Also translated here as “bad deed.” See also note https://read.84000.co/translation/UT22084-072-039.html#UT22084-072-039-88."
ངན་འགྲོ་ དང་ བྲལ་བ,,place-None,yes,Free from Negative Forms of Existence,
ངན་འགྲོ་ སྐེམ,,person-—,yes,Sears the Lower Realms,A bodhisattva.
ངན་སོང་ ཐམས་ཅད་ ཞི་བ་ -ར་ མཛད་པ,,person-None,yes,Pacifier of All Negative Forms of Existence,
ངན་སོང་ རབ་ཏུ་ འཇོམས་པ,,person-Apāya­pramathana,yes,Apāya­pramathana,One of the future buddhas of this kalpa.
ངན་སོང་ རྣམ་པ་ -ར་ སྦྱོང་བ,,person-Apāyajaha,yes,Apāyajaha,One of the sixteen great bodhisattvas. The content of the list varies from text to text.
ངན་སོང་ སེལ,,person-Apāyavidhama,yes,Apāyavidhama,
ངན་སོང་ སེལ,,person-Apāyajaha,yes,Apāyajaha,A bodhisattva in the retinue of the Buddha.
ངན་སོང་ སྤོང,,person-Apāyajaha,yes,Avoiding Evil Destinies,"Negi gives the Skt. apāyajaha for ngan song spong ’joms pa, where it refers to the name of a bodhisattva."
ངན་སོང་ སྤོང,,person-Apāyajaha,yes,Apāyajaha,The name of a bodhisattva.
ངན་སོང་ སྤོང,,person-None,yes,Abandoner of Unfavorable Rebirths,
ངན་སོང་ སྤོར,,person-—,yes,Conqueror of the Lower Realms,A bodhisattva.
ངན་ སྤོང,,person-Bhṛgu,yes,Bhṛgu,One of the seven great rishis of ancient India. The founder of Indian astrology.
ངན་ སྤོང,,person-Bhṛgu,yes,Bhṛgu,A bodhisattva in the retinue of the Buddha Śākyamuni.
ངན་ སྤོང,,person-Bhārgava,yes,Bhārgava,A ṛṣi.
ངན་ སྤོང,,person-Bhṛgu,yes,Bhṛgu,A ṛṣi in the past.
ངན་སློབ,,person-None,yes,Instigator of Evil,
ངམ་གྲོག་ དང་ གྱང་ ས,,place-Śvabhraprapāta,yes,Precipices and Abysses,A place in Ultimate Torment.
ངལ་ བསོ་པོ,,person-Vaiśravaṇa,yes,Vaiśravaṇa,"As one of the Four Mahārājas, he is the lord of the northern region of the world and the northern continent, though in early Buddhism he is the lord of the far north of India and beyond. He is also the lord of the yakṣas and a lord of wealth. Translated in other sūtras as rnam thos kyi bu and mchog gi gzugs."
ངས་ གདུལ་བ་ -ར་ བྱ,,person-—,yes,Trainable by Me,A god from the Sphere of neither Perception nor Nonperception who later becomes the Buddha Supreme Precious One.
ངས་ བར་ དུ་ གཅོད་པ་ -འི་ ཆོས་ གང་དག་ བཤད་པ,,term-mayāntar­āyikā­dharmākhyātaḥ,yes,I claim to have explained those things which cause obstacles,Third of the Buddha’s four assurances.
ངས་ སྡུག་བསྔལ་ ཡང་དག་པ་ -ར་ ཟད་པར་ འགྱུར་བ་ -འི་ ལམ་ གང་ བཤད་པ,,term-samyagduḥkha­kṣayāya­prati­padākhyātaḥ,yes,I claim to have explained the path through which suffering will genuinely cease,Fourth of the Buddha’s four assurances.
ངུ་འབོད་ གཏུམ་པོ,,place-mahāraurava,yes,Fierce Howling,One of the eight hot hells.
ངུ་འབོད་ ཆེན་པོ,,place-Mahāraurava,yes,Great Scream,One of the eight hot hells.
ངུ་འབོད་ ཆེན་པོ,,place-mahāraurava,yes,Great Howling Hell,The fifth of the eight hot hells in the Buddhist classification.
ངུ་འབོད་ ཆེན་པོ,,place-Mahāraurava,yes,Great Howling Hell,One of the eight hot hells.
ངུ་འབོད་ ཆེན་པོ,,place-Mahāraurava,yes,Loud Wailing,"Name of one of the great hells. See also Guenther 1986, 58; Konchog Gyaltsen 1998, 99."
ངུ་འབོད་ ཆེན་པོ,,place-Mahā­raurava,yes,Screaming Hell,"Fifth of the eight hot hells of Buddhist cosmology. An even larger version of the Shrieking Hell, likewise named for the cries of its inhabitants."
ངུ་འབོད་ ཆེན་པོ,,place-Mahāraurava,yes,Great Wailing Hell,One of the eight hot hells.
ངུ་འབོད,,place-Raurava,yes,Scream,One of the eight hot hells.
ངུ་འབོད,,place-Raurava,yes,Howling,The name of a hell realm. One of the eight hot hells.
ངུ་འབོད,,place-Raurava,yes,Howling Hell,One of the eight hot hells.
ངུ་འབོད,,place-Raurava,yes,Wailing,Name of one of the great hells; see also note https://read.84000.co/translation/UT22084-072-007.html#UT22084-072-007-175.
ངུ་འབོད,,place-Raurava,yes,Shrieking Hell,Fourth of the eight hot hells of Buddhist cosmology. Named for the cries of its inhabitants who are engulfed in a tremendous blaze.
ངུ་འབོད,,place-Raurava,yes,Raurava Hell,
ངུ་འབོད,,place-Raurava,yes,Raurava,One of the eight “hot” hells.
ངུ་འབོད,,place-Raurava,yes,Wailing Hell,One of the eight hot hells.
ངུ་འབོད,,place-rāurava,yes,Howling,One of the eight hot hells.
ངུད་མོ,,place-Rudanī,yes,Rudanī,A river.
ངུར་སྨྲིག་ གི་ རྒྱལ་མཚན་ གྱི་ འཇིག་རྟེན,,place-—,yes,World of the Saffron-Colored Victory Banners,Realm of a tathāgata.
ངུར་སྨྲིག་ གི་ རྒྱལ་མཚན,,place-Kāṣāyadhvajā,yes,Kāṣāyadhvajā,A buddha realm in the north.
ངུར་སྨྲིག་ བླངས་པ,,place-Kāṣāya­prati­grahaṇa,yes,Acceptance of the Saffron Robes,A shrine built to commemorate the Buddha’s going forth.
ངེས་དོན,,term-nitārtha,yes,Definitive meaning,
ངེས་དོན,,term-nītārtha,yes,Definitive meaning,"This refers to those teachings of the Buddha that are in terms of ultimate reality; it is opposed to those teachings given in terms of relative reality, termed “interpretable meaning,” because they require further interpretation before being relied on to indicate the ultimate. Hence definitive meaning relates to voidness, etc., and no statement concerning the relative world, even by the Buddha, can be taken as definitive. This is especially important in the context of the Mādhyamika doctrine, hence in the context of Vimalakīrti’s teachings, because he is constantly correcting the disciples and bodhisattvas who accept interpretable expressions of the Tathāgata as if they were definitive, thereby attaching themselves to them and adopting a one-sided approach."
ངེས་པ་ -འི་ དོན་ གྱི་ མདོ་སྡེ་ ལ་ རྟོན,,term-nītārtha­sūtra­pratiśaraṇa,yes,Reliance on the sūtras of definitive meaning,One of the four reliances.
ངེས་པ་ -འི་ དོན,,term-nītārtha,yes,Definitive meaning,The ultimate meaning of a given Dharma teaching.
ངེས་པ་ -འི་ དོན,,term-nītārtha,yes,Definitive meaning,A statement of clear and explicit meaning that has no ulterior motive and thus does not require further explanation.
ངེས་པ་ -འི་ དོན,,term-nītārtha,yes,Definitive meaning,The final meaning of the truth; the real intent of the Buddha’s teachings.
ངེས་པ་ -འི་ ཚིག་ ལ་ གདོན་ མི་ ཟ་བ་ -ར་ འཇུག་པ,,term-nir­ukti­niyata­praveśa,yes,Definitive Engagement in Precise Etymology,Name of the sixteenth meditative stability.
ངེས་པ་ -འི་ ཚིག་ སོ་སོ་ ཡང་དག་པ་ -ར་ རིག་པ,,term-nir­ukta­prati­saṃvid,yes,Unhindered discernment of etymology,Third of the four unhindered discernments. See also “etymology.”
ངེས་པ་ -འི་ ཚོགས,,term-niyata­rāśī,yes,Stable community,
ངེས་པ་ -འི་ རྒྱལ་མཚན་ ཏོག,,term-niyata­dhvaja­ketu,yes,Crest of the Victory Banner of Certainty,Name of the ninth meditative stability.
ངེས་པར་ གཡོ་ བར་ བྱེད་པ་ -འི་ རྒྱལ་པོ,,person-Nirdhūtarāja,yes,Nirdhūtarāja,One of the tathāgatas attending the delivery of the MMK.
ངེས་པར་ བརྟགས་ ཏེ་ བལྟ་བ,,person-—,yes,Discerning Vision,A bodhisattva in the retinue of the Buddha Śākyamuni.
ངེས་པར་ བསྟན་པ་ ཆེན་པོ,,term-Mahānirdeśa,yes,The Great Elucidation,The name of an extensive teaching that the Buddha is said to have taught directly preceding the Lotus Sūtra.
ངེས་པར་ མཐར་བྱེད,,place-—,yes,Certain Liberation,A park in Blazing Splendor.
ངེས་པར་ འདྲེན་པ,,person-—,yes,Certain Guidance,A great bodhisattva.
ངེས་པར་ འདྲེན་པ་ -འི་ རྒྱལ་མཚན,,person-—,yes,Banner of Certain Guidance,A buddha.
ངེས་པར་ འབྱེད་པ་ -འི་ ཆ་ བཞི,,term-nirvedhabhāgīya,yes,Four stages of penetrative insight,"“These are the four stages on the path of application (prayogamārga). They are heat (uṣmagata), tolerance (kṣānti), summit (mūrdha), and highest worldly dharma (laukikāgradharma).” Rotman (2005) p. 452. Translated here as “heat,” “peak” (given as the second stage in this text), “patience in accord with the truths” (given as the third stage in this text), and “highest worldly dharma.”"
ངེས་པར་ རྒྱལ་བ,,term-nir­jita,yes,Unvanquished,Name of the forty-fourth meditative stability.
ངེས་པར་ སོང་བ,,place-—,yes,Truly Gone,A world system.
ངེས་བརྗོད་ ཀྱི་ རིག་བྱེད,,text-Ṛgveda,yes,Ṛgveda,"Along with the Yajurveda, Sāmaveda, and Atharvaveda, one of the four Vedas, the most ancient Sanskrit religious literature of India. Generally considered the “first” of the four Vedas."
ངེས་བརྗོད་ ཀྱི་ རིག་བྱེད,,term-Ṛgveda,yes,Ṛg Veda,"Along with the Yajur Veda, Sāma Veda, and Atharva Veda, one of the four Vedas, the most ancient Sanskrit religious literature of India."
ངེས་ འཇོམས,,place-—,yes,Certain Destruction,
ངེས་ འདྲེན,,place-—,yes,Definitive Guidance,A buddha realm.
ངེས་ འདྲེན,,person-—,yes,Definitive Guide,A great bodhisattva.
ངེས་འབྱུང,,person-Niryāṇa,yes,Niryāṇa,A great bodhisattva.
ངོ་བོ་ ཉིད་ ཀྱི་ མཚན་ཉིད,,term-svabhāvalakṣaṇa,yes,Essential characteristic,
ངོ་བོ་ ཉིད་ ཀྱི་ མཚན་ཉིད,,term-sva­bhāva­lakṣaṇa,yes,Defining characteristics of the essential nature,
ངོ་བོ་ ཉིད་ སྐུ,,term-svābhāvika­kāya,yes,Buddha body of essentiality,"This indicates either an active or a passive distinction in the buddha body of reality, or the underlying indivisible essence of the three buddha bodies."
ངོ་བོ་ ཉིད་ སྟོང་པ་ཉིད,,term-sva­bhāva­śūnya­tā,yes,Emptiness of essential nature,Seventeenth of the eighteen aspects of emptiness.
ངོ་བོ་ ཉིད,,term-svabhāva,yes,Essence,
ངོ་བོ་ ཉིད,,term-sva­bhāva,yes,Essential nature,
ངོ་བོ་ ཉིད,,term-—,yes,Essence,
ངོ་བོ་ ཉིད,,term-svabhāva,yes,Essential nature,
ངོ་ཚ་ ཤེས་པ་ -འི་ དཔལ་ གྱི་ དོག་པ་ -འི་ འོད,,person-Hrī­śrī­mañjari­prabhāvā,yes,Hrī­śrī­mañjari­prabhāvā,A body goddess.
ངོགས་ ལ་ སྤྱོད,,place-Tīrabhukti,yes,Tīrabhukti,A country in India corresponding to modern Tirhut.
ངོམ་ བག་ གླང་པོ་ -འི་ འདྲོས,,person-Salīlagajagāmin,yes,Salīlagajagāmin,
ངོམས་པ་ མེད་པ་ -འི་ ཆུ,,place-—,yes,Water That One Never Tires Of,A pond in Continuous Movement.
ངོམས་ མི་ མྱོང,,place-—,yes,Insatiable,A river in Dwelling on Summits.
ངོ་ -ར་ ཆེན་ ཀུན་དགའ་ བཟང་པོ,,person-—,yes,Ngorchen Kunga Zangpo,"A great Sakya scholar and prolific author (1382–1456), founder of the Ngor tradition and the monastery of Ngor Ewam Chöden."
ངོ་ -ར་ ཆེན་ ཀུན་དགའ་ བཟང་པོ,,person-—,yes,Ngorchen Kunga Zangpo,"A great Sakya scholar and prolific author (1382–1456), founder of the Ngor tradition and the monastery of Ngor Ewam Chöden."
ངོ་ -ར་ ཆེན་ དཀོན་མཆོག་ ལྷུན་གྲུབ,,person-—,yes,Ngorchen Könchok Lhundrup,(1497−1557). The tenth abbot of Ngor Monastery and a prominent master of the Sakya tradition who wrote a history of Buddhism.
ངོས་ གཅིག་པ,,place-—,yes,Single Face,A mountain in the eastern sea beyond Jambudvīpa.
ཅ་ཅོ་བ,,place-—,yes,Babbler,A river on Upward Ocean.
ཅ་ ཡང,,person-—,yes,Cayang,"A Chinese king. He is identified by Thomas (1935, p. 17) as the founder of the Qin dynasty: Qin Shi Huang (秦始皇; 259–210 bce)."
ཅང་ཤེས་ ཀཽཎྜི་ ནྱ,,person-Ājñāta­kauṇḍinya,yes,Ājñāta­kauṇḍinya,
ཅང་ སྐྱེ་ -ར,,term-kuṭaja,yes,Ivory tree,Holarrhena pubescens.
ཅི་ ཏྲ་ དམར་པོ,,term-raktacitraka; raktacitra,yes,Red leadwort,Plumbago rosea.
ཅི་ འཇིགས,,person-kiṃbhīra,yes,Kiṃbhīra,"One of the twelve great yakṣa generals who protect and serve those who bear, read, recite, copy, or commission a copy of the Bhaiṣajya­guru­vaiḍūrya­prabharājasūtra."
ཅི་ འཇིགས,,person-Kiṃbhīra,yes,Kiṃbhīra,"One of the twelve great yakṣa generals who protect and serve those who bear, read, recite, copy, or commission a copy of the Bhaiṣajya­guru­vaiḍūrya­prabha­rāja­sūtra."
ཅི་ཡང་ མིན,,person-—,yes,Nothing,The name of a bodhisattva.
ཅི་ཡང་ མེད་པ,,place-Ākiñcanya,yes,Ākiñcanya,One of the gods’ realms; also used as the name of the gods living there.
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད་ ཀྱི་ སྙོམས་འཇུག,,term-a­kiṃ­canyāyatana,yes,Meditative absorption of the sense field of nothing-at-all,Third of the four meditative absorptions.
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད་ བསྒྲུབས་ ཏེ་ གནས་པ,,term-a­kiṃc­anyāyatanam­upasam­padya vi­harati,yes,"One achieves and abides in the sense field of nothing-at-all, thinking, ‘There is nothing at all.’",Sixth of the eight aspects of liberation. Also the seventh of the nine serial steps of meditative equipoise.
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,term-a­kiñ­canyāyatana,yes,Field of nothing whatsoever,"Name of the third of the four formless realms and of the third formless meditative absorption, so termed because in its preparatory phase absolute nothingness is the object of meditation."
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,place-Akiñcanyāyatana,yes,Nothingness,Third of four states in the formless realm.
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,place-Ākiṃcanyāyatana,yes,Sphere of Nothingness,Third of the four heavens of the formless realm. Rebirth there is the karmic result of accomplishing one of the formless meditative absorptions.
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,term-ākiṃcanyāyatana,yes,Sphere of nothingness,The third meditative state pertaining to the formless realm.
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,place-ākiṃ­canyāyatana,yes,Sphere of Absolute Nothingness,"One of the three lower formless realms among the four formless realms, so termed because in its preparatory phase absolute nothingness is the object of meditation."
ཅི་ཡང་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,term-akiñcanyāyatanaṃ,yes,Sphere of nothingness,Third of the four formless absorptions.
ཅི་ཡང་ མེད་ མིན,,place-Naivakiñcanya,yes,Naivakiñcanya,One of the gods’ realms; also used as the name of the gods living there.
ཅི་ སྨྲ,,person-Kimi,yes,Kimi,One of the tathāgatas attending the delivery of the MMK.
ཅུ་ གོན་པ་ ན,,person-—,yes,Chugönpana,An image of the Buddha.
ཅུང་ཟད་ དཀར་བ,,term-—,yes,Slightly white,A type of worm (srin bu) that lives in and feeds on the body.
ཅུང་ཟད་ མེད་པ་ -འི་ སྐྱེ་མཆེད,,term-ākiṃcanyāyatana,yes,Sphere of nothingness,"The third of the four states of imperturbability, which leads to rebirth in the formless realm (Skt. ārūpyadhātu) as a deva without form."
ཅོད་པན་ བཅིངས་པ་ -འི་ མཆོད་རྟེན,,place-Makuṭabandhana,yes,Makuṭabandhana,A temple or shrine in the country of the Mallas.
ཅོད་པན་ སོ,,person-Makuṭadantī,yes,Makuṭadantī,A rākṣasī known only from this sūtra.
ཅོད་པན,,term-mukuṭa,yes,Crown,
ཆ་ གཉིས་ ལྡན,,term-Dvāparayuga,yes,Dvāparayuga,The third in the cycle of four eons.
ཆ་མེད་ གཅིག,,person-Ekādaśā,yes,Ekādaśā,
ཆ་ཤས,,person-Aṃśa,yes,Aṃśa,One of the pratyeka­buddhas attending the delivery of the MMK.
ཆ,,term-kalā,yes,Lightning,
ཆགས་པ་ མི་ མངའ་བ,,person-Anunayavigata,yes,Anunayavigata,One of the future buddhas of this kalpa.
ཆགས་པ་ མེད་པ,,term-A­saṅga,yes,Non-attachment,
ཆགས་པ་ མེད་པ་ -འི་ གཟུངས,,term-asaṅgadhāraṇī,yes,Unimpeded dhāraṇī,Higher kind of dhāraṇī that involves remembering every syllable of teachings heard. This kind of dhāraṇī can only be possessed by advanced bodhisattvas.
ཆགས་པ་ མེད་པ་ -འི་ བློ,,person-—,yes,Mind of Non-Attachment,A bodhisattva.
ཆགས་པ་ མེད་པ་ -འི་ མི་ འཇིགས་པ་ བརྩེགས་པ,,person-—,yes,Pinnacle of Nonattached Fearlessness,A bodhisattva in the retinue of the Buddha Śākyamuni.
ཆགས་པ་ མེད་པ་ -འི་ མིག,,person-—,yes,Desireless Eyes,A bodhisattva.
ཆགས་པ་ མེད་པ་ -འི་ སྒོར་ འཇུག་པ་ ཞེས་ བྱ་བ་ -འི་ གཟུངས,,term-—,yes,Dhāraṇī that enters the door of no desire,
ཆགས་པ་ མྱེད་པ་ -འི་ དཔལ་ གྱི་ རྒྱལ་པོ,,person-Asaṅga­śrī­rāja,yes,Asaṅga­śrī­rāja,A bodhisattva from a northern buddha realm.
ཆགས་པ་ མྱེད་པ་ -འི་ བློ,,person-Asaṅga­buddhi,yes,Asaṅga­buddhi,A bodhisattva present in Śrāvastī.
ཆགས་པ་ མྱེད་པ་ -འི་ སྒྲ,,person-Asaṅga­svara,yes,Asaṅga­svara,A bodhisattva present in Śrāvastī.
ཆགས་ མེད་ ང་རོ,,person-—,yes,Roar of Non-Attachment,A bodhisattva.
ཆགས་ མེད་ ཟླ་བ་ -འི་ བློ,,person-Asaṅga­mati­candra,yes,Asaṅga­mati­candra,A buddha in the distant past.
ཆགས་ མེད་ རྒྱལ་མཚན,,person-—,yes,Desireless Victory Banner,A bodhisattva.
ཆགས་ མེད་ སྟོབས་ མངའ,,person-Asaṅga­bala­dhārin,yes,Asaṅga­bala­dhārin,A buddha in the distant past.
ཆགས་ མྱེད་ དམ་པ་ -འི་ ཡེ་ཤེས,,person-Asaṅgottara­jñānin,yes,Asaṅgottara­jñānin,A bodhisattva present in Śrāvastī.
ཆང་ ཆུ་ ལྟར་ འབབ་པ,,place-—,yes,Flow of Wine,A river in Supreme Splendor.
ཆང་ ཞིམ་པོ་ -འི་ ཚལ,,place-—,yes,Grove of Delicious Wine,A forest in Moving on Springy Ground.
ཆང་ འབབ་ཆུ་བོ,,place-—,yes,River of Wine,A river in Enjoyment of Scents.
ཆང་ ལྡན་ མ,,person-Suravatī,yes,Suravatī,One of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.
ཆད་པ་ ཐོག་ ཏུ་ ཕེབས་པ,,person-—,yes,Expert Annihilation,"Name of a past king, a former incarnation of the Buddha while he was a practicing bodhisattva."
ཆད་པ་ -འི་ གཟུངས་མ,,person-Daṇḍadhāriṇī,yes,Daṇḍadhāriṇī,One of the dhāraṇī goddesses present at the delivery of the MMK.
ཆབ་ བཟང་ ཡན་ལག་ བརྒྱད་ ལྡན,,term-aṣṭāṅgopetavārin,yes,Water that has the eight qualities,"Water that has the eight qualities of being sweet, cool, pleasant, light, clear, pure, not harmful to the throat, and beneficial for the stomach."
ཆ་ -ར་ ཆེན་ སྤྱོད,,person-—,yes,Causing Downpour,A nāga king.
ཆར་དགའ,,place-—,yes,Delightful Rain,One of the seven golden mountains that surround Mount Sumeru.
ཆ་ -ར་ དང་ ཆ་ -ར་ གྱི་ རྗེས་སུ་ འབྱུང་བ་ -འི་ ཆུ་ ཀླུང,,place-—,yes,Rain River,A river on Saṅkāśa.
ཆ་ -ར་ འབེབས,,person-—,yes,Rainfall,A virtuous nāga king.
ཆ་ -ར་ འབེབས,,person-Vṛṣṭi,yes,Vṛṣṭi,One of the grahas.
